length,fidelity,not-decoherence
10,0.8155634918610404,88
20,0.8019238815542511,84
30,0.7972792206135785,85
40,0.7397056274847713,81
50,0.694350288425444,75
60,0.7938477631085025,87
70,0.751923881554251,79
80,0.7748528137423857,81
90,0.6848528137423857,72
100,0.7338477631085024,81
110,0.748492424049175,81
120,0.6814213562373095,74
130,0.7326345596729058,80
140,0.7602081528017129,81
150,0.736066017177982,78
160,0.6926345596729058,76
170,0.6902081528017131,74
180,0.6955634918610404,76
190,0.7972792206135786,85
200,0.7084924240491749,77
210,0.7609188309203677,84
220,0.722634559672906,79
230,0.7060660171779821,75
240,0.7643502884254443,82
250,0.7431370849898477,79
260,0.7767766952966368,85
270,0.7202081528017129,77
280,0.7207106781186546,75
290,0.7514213562373093,81
300,0.7838477631085025,86
310,0.6743502884254441,73
320,0.7655634918610403,83
330,0.7097056274847714,78
340,0.814350288425444,87
350,0.7572792206135786,81
360,0.7914213562373095,85
370,0.718492424049175,78
380,0.7360660171779821,78
390,0.7997056274847714,87
400,0.7355634918610403,80
410,0.7884924240491751,85
420,0.8172792206135785,87
430,0.7589949493661166,80
440,0.728492424049175,79
450,0.6667766952966369,74
460,0.6914213562373095,75
470,0.7543502884254443,81
480,0.7014213562373095,76
490,0.7284924240491749,79
500,0.7426345596729058,81
510,0.7531370849898475,80
520,0.7872792206135785,84
530,0.7772792206135786,83
540,0.7072792206135786,76
550,0.8314213562373095,89
560,0.7267766952966369,80
570,0.6992031021678298,79
580,0.8014213562373095,86
590,0.7672792206135784,82
600,0.751923881554251,79
610,0.6902081528017131,74
620,0.686066017177982,73
630,0.8014213562373095,86
640,0.7538477631085023,83
650,0.7392031021678298,83
660,0.7667766952966371,84
670,0.7460660171779822,79
680,0.738492424049175,80
690,0.8014213562373095,86
700,0.7072792206135784,76
710,0.8097056274847715,88
720,0.702634559672906,77
730,0.664350288425444,72
740,0.6914213562373096,75
750,0.7455634918610404,81
760,0.7548528137423857,79
770,0.6926345596729058,76
780,0.6655634918610405,73
790,0.724350288425444,78
800,0.731923881554251,77
810,0.7272792206135784,78
820,0.7426345596729061,81
830,0.7419238815542513,78
840,0.6450609665440987,73
850,0.7543502884254439,81
860,0.6667766952966369,74
870,0.6172792206135785,67
880,0.6772792206135785,73
890,0.714350288425444,77
900,0.734350288425444,79
910,0.7860660171779821,83
920,0.764350288425444,82
930,0.7472792206135785,80
940,0.7221320343559643,81
950,0.646066017177982,69
960,0.7272792206135786,78
970,0.7014213562373095,76
980,0.6597056274847714,73
990,0.7514213562373095,81
1000,0.7414213562373095,80
