length,fidelity,not-decoherence
10,0.48328427124746187,4
20,0.4944974746830582,7
30,0.48242640687119276,6
40,0.47621320343559637,3
50,0.49914213562373094,2
60,0.5082842712474619,4
70,0.4882842712474618,4
80,0.49828427124746183,4
90,0.49828427124746183,4
100,0.4862132034355964,3
110,0.48414213562373093,2
120,0.4853553390593273,5
130,0.48742640687119276,6
140,0.4962132034355964,3
150,0.4962132034355964,3
160,0.49571067811865466,10
170,0.47414213562373086,2
180,0.48414213562373093,2
190,0.5007106781186547,10
200,0.4862132034355964,3
210,0.5044974746830583,7
220,0.4970710678118654,1
230,0.4853553390593273,5
240,0.48328427124746187,4
250,0.4903553390593273,5
260,0.48742640687119276,6
270,0.4936396103067892,9
280,0.4920710678118654,1
290,0.4820710678118654,1
300,0.4641421356237309,2
310,0.48121320343559637,3
320,0.4882842712474618,4
330,0.4770710678118655,1
340,0.5012132034355963,3
350,0.4912132034355964,3
360,0.4953553390593273,5
370,0.48328427124746187,4
380,0.4862132034355964,3
390,0.47242640687119275,6
400,0.47828427124746187,4
410,0.4932842712474618,4
420,0.47707106781186537,1
430,0.48914213562373093,2
440,0.48414213562373093,2
450,0.4894974746830583,7
460,0.47621320343559637,3
470,0.4912132034355964,3
480,0.48914213562373093,2
490,0.49742640687119277,6
500,0.49742640687119277,6
510,0.4741421356237309,2
520,0.48914213562373093,2
530,0.48656854249492376,8
540,0.4903553390593273,5
550,0.4894974746830582,7
560,0.4865685424949237,8
570,0.4762132034355963,3
580,0.49414213562373094,2
590,0.4862132034355963,3
600,0.4691421356237309,2
610,0.4953553390593273,5
620,0.48121320343559637,3
630,0.47207106781186536,1
640,0.4912132034355964,3
650,0.49828427124746183,4
660,0.47742640687119275,6
670,0.48414213562373093,2
680,0.4853553390593274,5
690,0.4903553390593273,5
700,0.49828427124746183,4
710,0.4641421356237309,2
720,0.4903553390593273,5
730,0.48914213562373093,2
740,0.4862132034355963,3
750,0.4844974746830583,7
760,0.4741421356237309,2
770,0.48121320343559637,3
780,0.4912132034355964,3
790,0.47207106781186536,1
800,0.4853553390593273,5
810,0.4653553390593273,5
820,0.48242640687119276,6
830,0.4862132034355964,3
840,0.48156854249492376,8
850,0.4820710678118654,1
860,0.4812132034355963,3
870,0.5003553390593273,5
880,0.48328427124746187,4
890,0.46914213562373086,2
900,0.4753553390593273,5
910,0.4944974746830582,7
920,0.4903553390593273,5
930,0.4799999999999999,0
940,0.4853553390593273,5
950,0.49414213562373094,2
960,0.48914213562373093,2
970,0.47035533905932736,5
980,0.4741421356237309,2
990,0.4794974746830583,7
1000,0.4920710678118654,1
